date,close,volume,open,high,low
3/23/17,206.31,3839103,206.03,207.3,205.91
3/22/17,206.41,3896552,205.96,206.57,205.5007
3/21/17,206.35,6190696,209.33,209.43,206.25
3/20/17,208.8136,3308071,208.85,209.27,208.56
3/17/17,208.86,2872189,209.53,209.53,208.83
3/16/17,209.44,3018333,210.17,210.17,209.05
3/15/17,209.58,5735921,208.83,209.91,208.7101
3/14/17,208.54,4432261,208.57,208.88,207.98
3/13/17,208.94,2261485,209.13,209.34,208.585
3/10/17,209.15,3003609,209.69,209.7,208.36
3/9/17,208.67,4423957,208.74,209.09,207.868
3/8/17,208.61,3170815,209.58,209.61,208.43
3/7/17,209.17,2736225,209.21,209.66,208.975
3/6/17,209.48,2523023,209.26,209.77,209.02
3/3/17,209.91,2588781,210.06,210.32,209.41
3/2/17,209.89,3335258,211.19,211.19,209.84
3/1/17,211.02,7844942,209.92,211.59,209.88
2/28/17,207.98,2814774,208.11,208.31,207.68
2/27/17,208.29,3432985,207.73,208.37,207.61
2/24/17,207.93,3703905,207.08,207.95,207.07
2/23/17,207.82,3168935,208.06,208.15,207.21
2/22/17,207.45,2252696,206.73,207.53,206.64
2/21/17,207.07,3076628,206.56,207.3,206.42
2/17/17,205.88,5747221,205.03,205.92,205.02
2/16/17,206.48,4584714,206.55,206.7199,205.85
2/15/17,206.38,3644805,205.39,206.49,205.29
2/14/17,205.17,3586114,204.06,205.18,203.945
2/13/17,204.2,2628252,203.32,204.47,203.32
2/10/17,202.74,2880286,202.3,203,202.0675
2/9/17,201.72,3481089,200.82,202.1052,200.77
2/8/17,200.51,2288150,200.5,200.69,200.15
2/7/17,200.58,2603430,200.89,201.3001,200.43
2/6/17,200.28,2770442,200.03,200.7,199.78
2/3/17,200.38,4856075,199.58,200.57,199.44
2/2/17,198.61,2639430,198.16,198.97,198.02
2/1/17,198.63,3664335,199.13,199.4,198.2
1/31/17,198.36,4625875,198.72,198.89,197.56
1/30/17,199.38,4714741,199.83,199.9,198.42
1/27/17,200.63,3576407,200.69,200.87,200.45
1/26/17,200.72,3993655,200.6,200.97,200.42
1/25/17,200.42,4877012,200.01,200.55,199.75
1/24/17,198.84,5204145,197.79,199.22,197.62
1/23/17,197.78,3246469,197.86,198.11,197.04
1/20/17,197.96,6997974,197.53,198.2,197.31
1/19/17,197.28,3043097,198.03,198.16,196.69
1/18/17,197.95,4634843,198.08,198.23,197.3
1/17/17,198.09,3329234,198.27,198.65,197.587
1/13/17,198.7,3468891,198.91,199.35,198.32
1/12/17,198.75,3864931,198.88,198.91,197.53
1/11/17,199.33,5208033,198.63,199.57,198.15
1/10/17,198.4,3021089,198.72,199.405,198.21
1/9/17,198.76,2301811,199.09,199.27,198.75
1/6/17,199.51,4321687,198.73,199.83,198.17
1/5/17,198.75,4123857,198.95,199.265,197.895
1/4/17,199.15,4821882,198.76,199.36,198.6
